name,summary,pattern
dynamic/squlearn/BaseQNN,BaseQNN: implementation of the Quantum Neural Network (QNN) pattern.,Quantum Neural Network (QNN)
dynamic/squlearn/ComposedEncodingCircuit,ComposedEncodingCircuit: implementation of the Data Encoding pattern.,Data Encoding
dynamic/squlearn/ConvertedLayeredEncodingCircuit,ConvertedLayeredEncodingCircuit: implementation of the Data Encoding pattern.,Data Encoding
dynamic/squlearn/EncodingCircuitBase,EncodingCircuitBase: implementation of the Data Encoding pattern.,Data Encoding
dynamic/squlearn/EncodingCircuitDerivatives,EncodingCircuitDerivatives: implementation of the Data Encoding pattern.,Data Encoding
dynamic/squlearn/EncodingSlotsMismatchError,EncodingSlotsMismatchError: implementation of the Data Encoding pattern.,Data Encoding
dynamic/squlearn/FidelityKernelExpectationValue,FidelityKernelExpectationValue: implementation of the SWAP Test pattern.,SWAP Test
dynamic/squlearn/HighDimEncodingCircuit,HighDimEncodingCircuit: implementation of the Data Encoding pattern.,Data Encoding
dynamic/squlearn/HubregtsenEncodingCircuit,HubregtsenEncodingCircuit: implementation of the Data Encoding pattern.,Data Encoding
dynamic/squlearn/InvertedEncodingCircuit,InvertedEncodingCircuit: implementation of the Data Encoding pattern.,Data Encoding
dynamic/squlearn/KernelOptimizer,KernelOptimizer: implementation of the Variational Quantum Algorithm (VQA) pattern.,Variational Quantum Algorithm (VQA)
dynamic/squlearn/KyriienkoEncodingCircuit,KyriienkoEncodingCircuit: implementation of the Quantum Approximate Optimization Algorithm (QAOA) pattern.,Quantum Approximate Optimization Algorithm (QAOA)
dynamic/squlearn/LayeredEncodingCircuit,LayeredEncodingCircuit: implementation of the Quantum Approximate Optimization Algorithm (QAOA) pattern.,Quantum Approximate Optimization Algorithm (QAOA)
dynamic/squlearn/LowLevelQNN,LowLevelQNN: implementation of the Quantum Neural Network (QNN) pattern.,Quantum Neural Network (QNN)
dynamic/squlearn/LowLevelQNNBase,LowLevelQNNBase: implementation of the Quantum Neural Network (QNN) pattern.,Quantum Neural Network (QNN)
dynamic/squlearn/LowLevelQNNPennyLane,LowLevelQNNPennyLane: implementation of the Quantum Neural Network (QNN) pattern.,Quantum Neural Network (QNN)
