name,summary,pattern
arithmetic.adders.adder.Adder,Compute the sum of two equally sized qubit registers.,Quantum Arithmetic
arithmetic.adders.adder.HalfAdderGate,"Compute the sum of two equally-sized qubit registers, including a carry-out bit.",Quantum Arithmetic
arithmetic.adders.adder.ModularAdderGate,Compute the sum modulo :math:`2^n` of two :math:`n`-sized qubit registers.,Quantum Arithmetic
arithmetic.adders.adder.FullAdderGate,"Compute the sum of two :math:`n`-sized qubit registers, including carry-in and -out bits.",Quantum Arithmetic
arithmetic.adders.cdkm_ripple_carry_adder.CDKMRippleCarryAdder,A ripple-carry circuit to perform in-place addition on two qubit registers.,Quantum Arithmetic
arithmetic.adders.draper_qft_adder.DraperQFTAdder,A circuit that uses QFT to perform in-place addition on two qubit registers.,Quantum Arithmetic
arithmetic.adders.vbe_ripple_carry_adder.VBERippleCarryAdder,The VBE ripple carry adder [1].,Quantum Arithmetic
arithmetic.exact_reciprocal.ExactReciprocal,Exact reciprocal,Quantum Arithmetic
arithmetic.exact_reciprocal.ExactReciprocalGate,Implements an exact reciprocal function.,Quantum Arithmetic
arithmetic.functional_pauli_rotations.FunctionalPauliRotations,Base class for functional Pauli rotations.,Quantum Arithmetic
arithmetic.integer_comparator.IntegerComparator,Integer Comparator.,Quantum Arithmetic
arithmetic.integer_comparator.IntegerComparatorGate,Perform a :math:`\geq` (or :math:`<`) on a qubit register against a classical integer.,Quantum Arithmetic
arithmetic.linear_amplitude_function.LinearAmplitudeFunctionGate,A circuit implementing a (piecewise) linear function on qubit amplitudes.,Quantum Arithmetic
arithmetic.linear_pauli_rotations.LinearPauliRotationsGate,"Linearly-controlled X, Y or Z rotation.",Quantum Arithmetic
arithmetic.multipliers.hrs_cumulative_multiplier.HRSCumulativeMultiplier,A multiplication circuit to store product of two input registers out-of-place.,Quantum Arithmetic
arithmetic.multipliers.multiplier.MultiplierGate,Compute the product of two equally sized qubit registers into a new register.,Quantum Arithmetic
arithmetic.multipliers.rg_qft_multiplier.RGQFTMultiplier,A QFT multiplication circuit to store product of two input registers out-of-place.,Quantum Arithmetic
arithmetic.piecewise_chebyshev.PiecewiseChebyshevGate,Piecewise Chebyshev approximation to an input function.,Quantum Arithmetic
arithmetic.piecewise_linear_pauli_rotations.PiecewiseLinearPauliRotationsGate,Piecewise-linearly-controlled Pauli rotations.,Quantum Arithmetic
arithmetic.piecewise_polynomial_pauli_rotations.PiecewisePolynomialPauliRotationsGate,Piecewise-polynomially-controlled Pauli rotations.,Quantum Arithmetic
arithmetic.polynomial_pauli_rotations.PolynomialPauliRotations,A circuit implementing polynomial Pauli rotations.,Quantum Arithmetic
arithmetic.polynomial_pauli_rotations.PolynomialPauliRotationsGate,A gate implementing polynomial Pauli rotations.,Quantum Arithmetic
arithmetic.quadratic_form.QuadraticFormGate,Implements a quadratic form on binary variables encoded in qubit registers.,Quantum Arithmetic
arithmetic.weighted_adder.WeightedAdder,A circuit to compute the weighted sum of qubit registers.,Quantum Arithmetic
arithmetic.weighted_adder.WeightedSumGate,A gate to compute the weighted sum of qubit registers.,Quantum Arithmetic
basis_change.qft.QFT,Quantum Fourier Transform Circuit.,Basis Change
basis_change.qft.QFTGate,Quantum Fourier Transform Gate.,Basis Change
bit_flip_oracle.BitFlipOracleGate,Implements a bit-flip oracle,Oracle
blueprintcircuit.BlueprintCircuit,Blueprint circuit object.,Circuit Construction Utility
boolean_logic.inner_product.InnerProductGate,A 2n-qubit Boolean function that computes the inner product of two n-qubit vectors over :math:`F_2`.,Quantum Logical Operators
boolean_logic.quantum_and.AND,A circuit implementing the logical AND operation on a number of qubits.,Quantum Logical Operators
boolean_logic.quantum_and.AndGate,A gate representing the logical AND operation on a number of qubits.,Quantum Logical Operators
boolean_logic.quantum_or.OR,A circuit implementing the logical OR operation on a number of qubits.,Quantum Logical Operators
boolean_logic.quantum_xor.BitwiseXorGate,An n-qubit gate for bitwise xor-ing the input with some integer ``amount``.,Quantum Logical Operators
boolean_logic.quantum_xor.random_bitwise_xor,Create a random BitwiseXorGate.,Quantum Logical Operators
data_preparation.pauli_feature_map.z_feature_map,The first order Pauli Z-evolution circuit.,Data Encoding
data_preparation.pauli_feature_map.zz_feature_map,Second-order Pauli-Z evolution circuit.,Data Encoding
data_preparation.initializer.Initialize,Complex amplitude initialization.,Initialization
data_preparation.pauli_feature_map.PauliFeatureMap,The Pauli Expansion circuit.,Data Encoding
data_preparation.state_preparation.StatePreparation,Complex amplitude state preparation.,Initialization
data_preparation.state_preparation.UniformSuperpositionGate,Implements a uniform superposition state.,Initialization
fourier_checking.FourierChecking,Fourier checking circuit.,Circuit Construction Utility
generalized_gates.diagonal.Diagonal,Circuit implementing a diagonal transformation.,Circuit Construction Utility
generalized_gates.diagonal.DiagonalGate,A generic diagonal quantum gate.,Circuit Construction Utility
generalized_gates.gms.GMS,Global Mølmer–Sørensen gate.,Circuit Construction Utility
generalized_gates.gms.MSGate,The Mølmer–Sørensen gate.,Circuit Construction Utility
generalized_gates.gr.GR,Global R gate.,Circuit Construction Utility
generalized_gates.gr.GRX,Global RX gate.,Circuit Construction Utility
generalized_gates.gr.GRY,Global RY gate.,Circuit Construction Utility
generalized_gates.gr.GRZ,Global RZ gate.,Circuit Construction Utility
generalized_gates.isometry.Isometry,Decomposition of arbitrary isometries from :math:`m` to :math:`n` qubits.,Circuit Construction Utility
generalized_gates.linear_function.LinearFunction,A linear reversible circuit on n qubits.,Circuit Construction Utility
generalized_gates.mcg_up_to_diagonal.MCGupDiag,Decomposes a multi-controlled gate :math:`U` up to a diagonal :math:`D`.,Circuit Construction Utility
generalized_gates.mcmt.MCMTGate,"The multi-controlled multi-target gate, for an arbitrary singly controlled target gate.",Circuit Construction Utility
generalized_gates.mcmt.MCMTVChain,The MCMT implementation using the CCX V-chain.,Circuit Construction Utility
generalized_gates.pauli.PauliGate,A multi-qubit Pauli gate.,Circuit Construction Utility
generalized_gates.permutation.Permutation,An n_qubit circuit that permutes qubits.,Circuit Construction Utility
generalized_gates.permutation.PermutationGate,A gate that permutes qubits.,Circuit Construction Utility
generalized_gates.rv.RVGate,Rotation around arbitrary rotation axis.,Circuit Construction Utility
generalized_gates.uc.UCGate,Uniformly controlled gate (also called multiplexed gate).,Circuit Construction Utility
