name;summary
/qiskit/qiskit.circuit.library.generalized_gates.uc_pauli_rot.UCPauliRotGate;Uniformly controlled Pauli rotations.
/qiskit/qiskit.circuit.library.arithmetic.linear_amplitude_function.LinearAmplitudeFunctionGate;A circuit implementing a (piecewise) linear function on qubit amplitudes.
/qiskit/qiskit.circuit.library.arithmetic.linear_pauli_rotations.LinearPauliRotationsGate;Linearly-controlled X, Y or Z rotation.
/qiskit/qiskit.circuit.library.arithmetic.multipliers.multiplier.MultiplierGate;Compute the product of two equally sized qubit registers into a new register.
/qiskit/qiskit.circuit.library.arithmetic.piecewise_chebyshev.PiecewiseChebyshevGate;Piecewise Chebyshev approximation to an input function.
/qiskit/qiskit.circuit.library.arithmetic.piecewise_linear_pauli_rotations.PiecewiseLinearPauliRotationsGate;Piecewise-linearly-controlled Pauli rotations.
/qiskit/qiskit.circuit.library.arithmetic.piecewise_polynomial_pauli_rotations.PiecewisePolynomialPauliRotationsGate;Piecewise-polynomially-controlled Pauli rotations.
/qiskit/qiskit.circuit.library.arithmetic.quadratic_form.QuadraticFormGate;Implements a quadratic form on binary variables encoded in qubit registers.
/qiskit/qiskit.circuit.library.boolean_logic.inner_product.InnerProductGate;A 2n-qubit Boolean function that computes the inner product of two n-qubit vectors over :math:`F_2`.
/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AndGate;A gate representing the logical AND operation on a number of qubits.
/qiskit/qiskit.circuit.library.boolean_logic.quantum_xor.BitwiseXorGate;An n-qubit gate for bitwise xor-ing the input with some integer ``amount``.
/qiskit/qiskit.circuit.library.data_preparation.pauli_feature_map.z_feature_map;The first order Pauli Z-evolution circuit.
/qiskit/qiskit.circuit.library.data_preparation.pauli_feature_map.zz_feature_map;Second-order Pauli-Z evolution circuit.
/qiskit/qiskit.circuit.library.generalized_gates.mcmt.MCMTGate;The multi-controlled multi-target gate, for an arbitrary singly controlled target gate.
/qiskit/qiskit.circuit.library.arithmetic.adders.adder.Adder;Compute the sum of two equally sized qubit registers.
/qiskit/qiskit.circuit.library.arithmetic.adders.adder.HalfAdderGate;Compute the sum of two equally-sized qubit registers, including a carry-out bit.
/qiskit/qiskit.circuit.library.arithmetic.adders.adder.ModularAdderGate;Compute the sum modulo :math:`2^n` of two :math:`n`-sized qubit registers.
/qiskit/qiskit.circuit.library.arithmetic.adders.adder.FullAdderGate;Compute the sum of two :math:`n`-sized qubit registers, including carry-in and -out bits.
/qiskit/qiskit.circuit.library.arithmetic.adders.cdkm_ripple_carry_adder.CDKMRippleCarryAdder;A ripple-carry circuit to perform in-place addition on two qubit registers.
/qiskit/qiskit.circuit.library.arithmetic.adders.draper_qft_adder.DraperQFTAdder;A circuit that uses QFT to perform in-place addition on two qubit registers.
/qiskit/qiskit.circuit.library.arithmetic.adders.vbe_ripple_carry_adder.VBERippleCarryAdder;The VBE ripple carry adder [1].
/qiskit/qiskit.circuit.library.arithmetic.exact_reciprocal.ExactReciprocal;Exact reciprocal
/qiskit/qiskit.circuit.library.arithmetic.exact_reciprocal.ExactReciprocalGate;Implements an exact reciprocal function.
/qiskit/qiskit.circuit.library.arithmetic.functional_pauli_rotations.FunctionalPauliRotations;Base class for functional Pauli rotations.
/qiskit/qiskit.circuit.library.arithmetic.integer_comparator.IntegerComparator;Integer Comparator.
/qiskit/qiskit.circuit.library.arithmetic.integer_comparator.IntegerComparatorGate;Perform a :math:`\geq` (or :math:`<`) on a qubit register against a classical integer.
/qiskit/qiskit.circuit.library.arithmetic.multipliers.hrs_cumulative_multiplier.HRSCumulativeMultiplier;A multiplication circuit to store product of two input registers out-of-place.
/qiskit/qiskit.circuit.library.arithmetic.multipliers.rg_qft_multiplier.RGQFTMultiplier;A QFT multiplication circuit to store product of two input registers out-of-place.
/qiskit/qiskit.circuit.library.arithmetic.polynomial_pauli_rotations.PolynomialPauliRotations;A circuit implementing polynomial Pauli rotations.
/qiskit/qiskit.circuit.library.arithmetic.polynomial_pauli_rotations.PolynomialPauliRotationsGate;A gate implementing polynomial Pauli rotations.
/qiskit/qiskit.circuit.library.arithmetic.weighted_adder.WeightedAdder;A circuit to compute the weighted sum of qubit registers.
/qiskit/qiskit.circuit.library.arithmetic.weighted_adder.WeightedSumGate;A gate to compute the weighted sum of qubit registers.
/qiskit/qiskit.circuit.library.basis_change.qft.QFT;Quantum Fourier Transform Circuit.
/qiskit/qiskit.circuit.library.basis_change.qft.QFTGate;Quantum Fourier Transform Gate.
/qiskit/qiskit.circuit.library.bit_flip_oracle.BitFlipOracleGate;Implements a bit-flip oracle
/qiskit/qiskit.circuit.library.blueprintcircuit.BlueprintCircuit;Blueprint circuit object.
